,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number
13,20260211-153246,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,160,16,1.0,16,45.772568069000044,160,0,17012,40960,3.4955434390049374,,894.859120385264,1266.5227765374639,1040.0,27,83.31636391872053,87.5625515000138,15.404701881609355,113.12177899060771,17.25254433627447,17.402653962744807,0.43533106427526336,17.579308671376317,17.408679534154576,16.124644999763404,6.034012708453847,45.3040361002968,4482.715169668711,4524.634325500301,114.3399645501492,4554.391869059091,1
14,20260211-153346,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,160,16,1.0,16,45.788725661999706,160,0,17012,40960,3.4943099570203766,,894.5433489972164,1266.075855177408,1038.0,27,82.32867315000476,79.98208050048561,14.908644869649276,112.47639770903334,17.264284996446012,17.409704156863665,0.43607488206250106,17.623548285176383,17.425265377705752,16.13785700101289,6.0649187283779264,45.500854960337165,4484.721347243737,4525.143906998892,113.2736804882138,4566.48927810922,2
15,20260211-153502,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,320,32,1.0,32,61.16445962100079,320,0,33740,81920,5.231796405671639,,1339.3398798519395,1890.967413374943,1536.0,54,114.4109354937143,117.54740300057165,17.701496315033832,142.30541323968282,23.18303507477949,23.28884933922025,0.4536085115071922,23.578099528506346,23.394292706318087,21.366265000324347,8.472512009242754,57.91435068127612,6026.084879562484,6056.262407500071,114.55386745387365,6117.0867995795925,0
16,20260211-153617,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,320,32,1.0,32,61.31808276399897,320,0,33740,81920,5.218688934414599,,1335.9843672101374,1886.2298817324768,1536.0,55,115.64388687810379,115.45935300000565,19.91427011166019,151.81714819955232,23.243723865907025,23.338284864707127,0.47070929692034463,23.700041680474076,23.45234765426495,21.349589000237756,8.501844197046502,57.28978615083179,6042.793472684394,6074.669982999694,117.74799674393549,6148.340279391032,1
17,20260211-153737,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,320,32,1.0,32,61.17660286299906,320,0,33740,81920,5.230757920910037,,1339.0740277529694,1890.5920660389215,1536.0,54,116.16625147812556,118.07396299991524,19.950171110767176,153.78272149937402,23.186199545159415,23.304207899997763,0.45904823636306097,23.60055309090539,23.396042191855884,21.29458200033696,8.458967820395046,57.26260740988437,6028.647135493776,6062.496723500772,115.20262745402935,6119.840159498854,2
18,20260211-153911,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,640,64,1.0,64,79.24331560700011,640,0,65323,163840,8.07639098765151,,2067.5560928387868,2891.8906060987238,2432.0,128,345.88891616719764,209.52904850128107,387.5808597277256,1650.2915277597458,29.458721466960778,29.04919120784482,1.792125226223871,34.432618995922006,29.728097463149567,27.12856000107422,32.80833028980865,73.7418838001756,7857.862890242197,7638.077873000839,546.5745154709635,9049.817578091006,0
19,20260211-154045,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,640,64,1.0,64,79.34283790100017,640,0,65323,163840,8.066260508586275,,2064.9626901980864,2888.2632139518073,2430.0,125,300.68569047812446,198.34114800050884,483.1343253570158,2813.0283047492776,29.665830380526984,29.17214606666533,2.5443087126181854,39.40449911058856,29.93283126932681,27.132701000482484,36.42999510002552,79.51385614989705,7865.472437512506,7641.85887900021,791.4573904940107,10224.128467049668,1
20,20260211-154216,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,640,64,1.0,64,77.09777720300008,640,0,65323,163840,8.30114723430828,,2125.0936919829196,2972.368443212169,2429.0,119,190.44065656874238,187.84389000120427,39.820517914191505,307.3123243698684,29.208779954503736,29.33449512352929,0.5237501137304422,29.785011755567265,29.471315834586278,27.146543499839026,13.42023588314163,83.01798819948064,7638.6795449671945,7667.926674999762,130.45491146163448,7759.069086288819,2
21,20260211-154423,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,1280,128,1.0,128,111.9798723189997,1280,0,132438,327680,11.43062564273724,,2926.2401645407335,4108.934851160136,3836.0,256,1195.9848259148444,568.8251914998546,1154.1606616739011,4183.556683000697,38.9179165142586,36.87286433921733,4.193989560265911,53.38689360505878,39.28983966530265,34.74388149970764,65.05786189672754,105.38825127901403,11120.053537050788,11035.1396140004,1279.30914933038,14758.187056080587,0
22,20260211-154636,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,1280,128,1.0,128,117.59086837900031,1280,0,132438,327680,10.88519897543835,,2786.6109377122175,3912.871861078705,3839.0,251,1334.3696943515567,1534.24877299949,1022.2603395072016,4092.422279708881,40.65026217085171,41.121724349018315,4.762189428088562,53.080185018706196,41.01628365391495,34.970152999449056,91.49931664996214,94.79841485986982,11700.186547918744,11049.563118000151,1272.017939979228,14778.293850079226,1
23,20260211-154838,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,1280,128,1.0,128,107.43549244499991,1280,0,132438,327680,11.914126057134034,,3050.0162706263127,4282.737385278435,3862.0,255,844.5371359218327,420.387355999992,747.5134821559681,2903.0398653905286,38.58383777626532,36.88997243137362,3.068867122354671,46.77473498274141,38.93004640468073,34.77200199995423,60.66859890957406,96.7878962800023,10683.41576886949,10916.503077000016,922.9239519082321,12260.027807609858,2
24,20260211-155142,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,2560,256,1.0,256,169.31377020699983,2560,0,271231,655360,15.119857037441149,,3870.683401584934,5472.626348507669,5624.0,424,2048.6623563171865,1173.0017965001025,1911.1801169873138,9192.48155306109,56.79410212041365,51.12598687646823,12.86525233984853,95.29600297082288,57.30319444576973,45.22827549953945,214.98955298360596,171.42724964023742,16531.15839702267,14604.751972499798,3675.4427126478517,25426.21329091002,0
25,20260211-155446,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,2560,256,1.0,256,169.0370120869993,2560,0,271231,655360,15.144612226595848,,3877.020730008537,5481.586479552217,5592.0,426,1965.7528664390625,1160.2967054996043,1855.8892593170897,8765.783076579935,56.94946360990201,52.247625368627446,12.968968253235861,95.9231349493743,57.462879937434195,45.236382000439335,215.99207962218094,176.41873733999034,16487.866086964073,14604.931971999576,3696.1505725717216,25833.3671026105,1
26,20260211-155749,openai-chat,openai-chat,,openai/gpt-oss-120b,openai/gpt-oss-120b,2560,256,1.0,256,168.8738844949985,2560,0,271231,655360,15.159241511234493,,3880.76582687603,5486.881543412609,5628.0,428,2000.5554479030975,1167.4835064995932,1897.8199225743851,9189.128944109967,56.736647894902,50.90640415489949,12.910669079077245,94.75764008611787,57.24336781058905,45.208565999928396,214.96048113135353,163.48756020088382,16468.40066110311,14463.420010500158,3594.773690184864,25474.884751970294,2
